difficulty,name,description,preparation_time,cooking_time,fat,protein,carbs,cooking_or_pastry,basic_ingredient_name,National_Cuisine_name,Recipies_Image
3,Spiced Chickpea Curry with Coconut Milk,Aromatic and flavorful chickpea curry simmered in coconut milk with warming spices.,15,30,15,20,40,0,Chickpeas,Indian,images\Recipes\Spiced_Chickpea_Curry_with_Coconut_Milk.jpg
2,One-Pan Lemon Garlic Salmon with Asparagus,"Simple and delicious salmon dish with roasted asparagus, flavored with lemon and garlic.",10,20,20,30,5,0,Salmon,American,images\Recipes\One_Pan_Lemon_Garlic_Salmon_with_Asparagus.jpg
4,Penne Arrabbiata,Classic Italian pasta dish with a spicy tomato sauce.,15,20,10,15,30,0,Penne,Italian,images\Recipes\Penne_Arrabbiata.jpg
5,Chicken Fajitas,"Grilled chicken strips with peppers and onions, served on warm tortillas with your favorite toppings.",20,20,25,30,15,0,Chicken breast,Mexican,images\Recipes\Chicken_Fajitas.jpg
5,Beef and Broccoli Stir-fry,"A quick and easy stir-fry with tender beef, broccoli florets, and a savory sauce.",15,20,20,30,20,0,Beef flank steak,Chinese,images\Recipes\Beef_and_Broccoli_Stir_fry.jpg
2,Tuscan White Bean Soup,"Hearty and flavorful soup made with cannellini beans, kale, and Italian sausage.",20,30,15,20,40,0,Cannellini beans,Italian,images\Recipes\Tuscan_White_Bean_Soup.jpg
3,Greek Yogurt Marinade Chicken Souvlaki,"Marinated chicken skewers grilled to perfection, served with a cool and creamy tzatziki sauce.",20,20,20,30,5,0,Chicken breast,Greek,images\Recipes\Greek_Yogurt_Marinade_Chicken_Souvlaki.jpg
4,Pad Thai,"Stir-fried rice noodles with vegetables, egg, and protein of your choice, seasoned with a flavorful tamarind sauce.",20,20,20,20,40,0,Rice noodles,Thai,images\Recipes\Pad_Thai_Stir_fried_rice_noodles_with_vegetables.jpg
3,Ratatouille,"French vegetable stew made with eggplant, zucchini, tomatoes, peppers, and herbs.",20,40,10,15,30,0,Eggplant,French,images\Recipes\Ratatouille.jpg
3,Chicken Tikka Masala,Creamy Indian curry with tender chicken pieces in a spiced tomato sauce.,20,30,20,30,30,0,Chicken breast,Indian,images\Recipes\Chicken_Tikka_Masala.jpg
2,Caprese Salad,"Simple and refreshing salad with sliced tomatoes, fresh mozzarella, basil leaves, and a drizzle of olive oil.",10,5,10,15,10,0,Tomato,Italian,images\Recipes\Caprese_Salad.jpg
4,Beef Stroganoff,Classic comfort food with tender beef strips in a creamy mushroom sauce served over egg noodles.,20,30,25,30,30,0,Beef sirloin,Russian,images\Recipes\Beef_Stroganoff.jpg
5,Kung Pao Chicken,"Spicy stir-fried chicken with peanuts, vegetables, and chili peppers.",15,20,25,30,20,0,Chicken breast,Chinese,images\Recipes\Kung_Pao_Chicken.jpg
3,Salmon with Lemon Dill Sauce,Baked salmon with a bright and flavorful lemon dill sauce.,15,20,20,30,5,0,Salmon,French,images\Recipes\Salmon_with_Lemon_Dill_Sauce.jpg
1,Scrambled Eggs,"Quick and easy breakfast dish made with eggs, milk, and your favorite seasonings.",5,10,10,15,5,0,Eggs,American,images\Recipes\Scrambled_Eggs.jpg
3,Pasta Primavera,Spring vegetable pasta dish with a light and creamy sauce.,20,20,15,15,30,0,Penne,Italian,images\Recipes\Pasta_Primavera.jpg
5,Beef Wellington,Luxurious dish with tenderloin steak wrapped in puff pastry and duxelles (mushroom mixture).,40,60,40,40,30,1,Beef tenderloin,English,images\Recipes\Beef_Wellington.jpg
2,Tuna Salad Sandwich,"Classic and easy lunch option with canned tuna, mayonnaise, celery, and onion on toasted bread.",10,5,15,20,20,0,Canned tuna,American,images\Recipes\Tuna_Salad_Sandwich.jpg
4,Chicken Pot Pie,"Hearty and comforting casserole with chicken, vegetables, and a flaky pastry crust.",30,60,25,30,40,1,Chicken breast,American,images\Recipes\Chicken_Pot_Pie.jpg
5,Sushi Bake,"Baked casserole with sushi rice, vegetables, seafood, and a savory sauce.",20,30,20,30,40,0,Sushi rice,Japanese,images\Recipes\Sushi_Bake.jpg
2,Greek Yogurt Parfait with Granola and Berries,"Healthy and delicious breakfast parfait with layers of Greek yogurt, granola, and fresh berries.",10,5,10,15,20,0,Greek yogurt,Greek,images\Recipes\Greek_Yogurt_Parfait_with_Granola_and_Berries.jpg
3,Shakshuka,"Algerian dish of poached eggs in a spicy tomato and pepper sauce, served with crusty bread.",15,20,15,20,20,0,Eggs,Algerian,images\Recipes\Shakshuka.jpg
4,Chicken Alfredo,"Creamy pasta dish with tender chicken, fettuccine noodles, and a rich Alfredo sauce.",20,20,25,30,30,0,Chicken breast,Italian,images\Recipes\Chicken_Alfredo.jpg
5,Tacos,"Classic Mexican dish with seasoned meat, lettuce, cheese, and salsa, served in a warm tortilla.",15,20,20,30,20,0,Ground beef,Mexican,images\Recipes\Tacos.jpg
3,Mushroom Risotto,"Creamy and flavorful Italian rice dish made with Arborio rice, mushrooms, and Parmesan cheese.",20,30,15,20,30,0,Arborio rice,Italian,images\Recipes\Mushroom_Risotto.jpg
2,Avocado Toast,"Simple and healthy breakfast option with mashed avocado on toasted bread, topped with seasonings and toppings of your choice.",10,5,10,15,10,0,Avocado,American,images\Recipes\Avocado_Toast.jpg
4,Lasagna,"Classic Italian pasta dish with layers of pasta, meat sauce, and cheese, baked to perfection.",30,60,30,40,40,0,Lasagna noodles,Italian,images\Recipes\Lasagna.jpg
5,Bibimbap,"Korean rice bowl with assorted vegetables, meat, and a spicy gochujang sauce, topped with a fried egg.",30,30,20,30,30,0,Rice,Korean,images\Recipes\Bibimbap.jpg
3,Chicken Noodle Soup,"Comforting and nourishing soup with chicken, vegetables, and noodles in a flavorful broth.",20,30,10,15,20,0,Chicken breast,American,images\Recipes\Chicken_Noodle_Soup.jpg
2,Hummus and Veggie Wrap,"Healthy and satisfying wrap with hummus, fresh vegetables, and a whole wheat tortilla.",10,10,10,15,10,0,Hummus,Arabic,images\Recipes\Hummus_and_Veggie_Wrap.jpg
4,Beef Bourguignon,"Classic French beef stew cooked in red wine with mushrooms, onions, and bacon.",30,60,30,40,40,0,Beef chuck roast,French,images\Recipes\Beef_Bourguignon.jpg
5,Fish Tacos,"Fresh and flavorful tacos with grilled fish, cabbage slaw, and a creamy sauce, served in warm tortillas.",20,20,20,30,10,0,White fish,Mexican,images\Recipes\Fish_Tacos.jpg
2,Black Bean Burgers,"Vegetarian burgers made with black beans, corn, and spices, served on buns with your favorite toppings.",15,20,10,20,30,0,Black beans,Mexican,images\Recipes\Black_Bean_Burgers.jpg
4,Lentil Soup,"Hearty and protein-packed soup made with lentils, vegetables, and herbs.",20,40,10,25,40,0,Lentils,Turkish,images\Recipes\Lentil_Soup.jpg
